"City ","Number of weekly drivers","Price per week","Population of city","Monthly income of drivers","Average parking rates per month"
1,"192000",15,"1800000",5800,50
2,"190400",15,"1790000",6200,50
3,"191200",15,"1780000",6400,60
4,"177600",25,"1778000",6500,60
5,"176800",25,"1750000",6550,60
6,"178400",25,"1740000",6580,70
7,"180800",25,"1725000",8200,75
8,"175200",30,"1725000",8600,75
9,"174400",30,"1720000",8800,75
10,"173920",30,"1705000",9200,80
11,"172800",30,"1710000",9630,80
12,"163200",40,"1700000",10570,80
13,"161600",40,"1695000",11330,85
14,"161600",40,"1695000",11600,100
15,"160800",40,"1690000",11800,105
16,"159200",40,"1630000",11830,105
17,"148800",65,"1640000",12650,105
18,"115696",102,"1635000",13000,110
19,"147200",75,"1630000",13224,125
20,"150400",75,"1620000",13766,130
21,"152000",75,"1615000",14010,150
22,"136000",80,"1605000",14468,155
23,"126240",86,"1590000",15000,165
24,"123888",98,"1595000",15200,175
25,"126080",87,"1590000",15600,175
26,"151680",77,"1600000",16000,190
27,"152800",63,"1610000",16200,200
